code,municipa,district,regday,specneed,bilingua,occupday,tot_day,s_p_c,spec_ed,lnch_pct,tchratio,percap,totsc4,totsc8,avgsalry,pctel
1,ABINGTON,Abington,4201,7375.689941,0,0,4646,16.60000038,14.60000038,11.80000019,19,16.379,714,691,34.36000061,0
2,ACTON,Acton,4129,8573.990234,0,0,4930,5.699999809,17.39999962,2.5,22.60000038,25.792,731,,38.06299973,1.246105909
3,ACUSHNET,Acushnet,3627,8081.720215,0,0,4281,7.5,12.10000038,14.10000038,19.29999924,14.04,704,693,32.49100113,0
5,AGAWAM,Agawam,4015,8181.370117,0,0,4826,8.600000381,21.10000038,12.10000038,17.89999962,16.111,704,691,33.10599899,0.322580636
7,AMESBURY,Amesbury,4273,7037.220215,0,0,4824,6.099999905,16.79999924,17.39999962,17.5,15.423,701,699,34.43650055,0
8,AMHERST,Amherst,5183,10595.7998,6235,0,6454,7.699999809,17.20000076,26.79999924,15.69999981,11.144,714,,,3.921568632
9,ANDOVER,Andover,4685,12279.58008,0,0,5537,5.400000095,11.30000019,3.299999952,17.10000038,26.327,725,728,41.61500168,0
10,ARLINGTON,Arlington,5518,10055.0498,0,0,6405,7.099999905,20.39999962,11.19999981,16.79999924,21.449,717,715,36.99399948,2.702702761
14,ASHLAND,Ashland,5009,8840.860352,0,0,5649,10.60000038,13.89999962,8.600000381,17.29999924,21.912,702,705,34.42150116,0
16,ATTLEBORO,Attleboro,3823,9547.389648,12943,11519,4814,6.699999809,13.19999981,20.70000076,20.5,14.97,701,688,33.87900162,0.375234514
17,AUBURN,Auburn,4625,8212.660156,0,0,5210,12.5,11.10000038,10.69999981,15.60000038,17.5,713,703,36.0890007,0
18,AVON,Avon,4777,11874.58984,0,0,5615,7.599999905,13.30000019,11.89999962,15.5,16.176,707,683,,0
19,AYER,Ayer,6554,12105.42969,0,0,7389,4.199999809,16.79999924,23.89999962,11.39999962,14.586,703,680,38.59400177,0
20,BARNSTABLE,Barnstable,4484,9320.769531,1741,0,5323,8.800000191,14.89999962,18.70000076,17.60000038,17.376,704,698,36.64899826,1.003344536
23,BEDFORD,Bedford,6240,10993.01953,0,0,7234,4.800000191,17.20000076,2.900000095,14.80000019,24.59,721,726,39.36299896,0
25,BELLINGHAM,Bellingham,4254,7515.560059,5281,1470,5048,9.399999619,20,8.100000381,19.60000038,15.869,708,688,35.87200165,0
26,BELMONT,Belmont,5323,8725.269531,0,0,6065,15,15.10000038,6.5,17.29999924,26.793,728,725,42.42900085,2.173913002
27,BERKLEY,Berkley,3079,7755.439941,0,0,3930,13.80000019,19.60000038,5.599999905,20.10000038,14.639,710,697,30.3654995,0
28,BERLIN,Berlin,4836,10220.42969,0,0,6121,6,16.60000038,7.5,14.89999962,19.118,731,,38.92750168,0
30,BEVERLY,Beverly,4205,8288.450195,0,0,4961,9.800000191,17.29999924,15.30000019,17,18.436,713,711,35.02099991,0
31,BILLERICA,Billerica,4271,8314.639648,0,0,4901,10.10000038,14.69999981,6.5,19.29999924,16.395,710,696,,0
35,BOSTON,Boston,5146,12417.30957,8856,10609,7424,7.599999905,21.10000038,70,27,15.581,664,653,41.39550018,10.79801655
36,BOURNE,Bourne,4512,8280.889648,0,0,5203,15.5,12.19999981,21.5,18.70000076,14.962,702,685,36.66999817,0
37,BOXBOROUGH,Boxborough,3533,8714.629883,0,0,4196,8.199999809,9.100000381,1.600000024,20.5,24.363,724,,,0
38,BOXFORD,Boxford,3465,7107.410156,0,0,4042,6.300000191,12.89999962,0.699999988,18.70000076,30.634,723,,,0
