T04,Proportion of seats held by women in national parliament,,,,,,,
Region/Country/Area,,Year,Series,Last Election Date,Last Election Date footnote,Value,Footnotes,Source
1,"Total, all countries or areas",2000,"Seats held by women in national parliament, as of February (%)",,,13.3396,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
1,"Total, all countries or areas",2005,"Seats held by women in national parliament, as of February (%)",,,15.9147,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
1,"Total, all countries or areas",2010,"Seats held by women in national parliament, as of February (%)",,,19.0306,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
1,"Total, all countries or areas",2015,"Seats held by women in national parliament, as of February (%)",,,22.2732,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
1,"Total, all countries or areas",2016,"Seats held by women in national parliament, as of February (%)",,,22.7371,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
1,"Total, all countries or areas",2017,"Seats held by women in national parliament, as of February (%)",,,23.3881,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
1,"Total, all countries or areas",2018,"Seats held by women in national parliament, as of February (%)",,,23.4288,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
1,"Total, all countries or areas",2019,"Seats held by women in national parliament, as of February (%)",,,24.2981,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
1,"Total, all countries or areas",2020,"Seats held by women in national parliament, as of February (%)",,,24.9343,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
15,Northern Africa,2000,"Seats held by women in national parliament, as of February (%)",,,5.439,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
15,Northern Africa,2005,"Seats held by women in national parliament, as of February (%)",,,10.8472,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
15,Northern Africa,2010,"Seats held by women in national parliament, as of February (%)",,,13.2065,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
15,Northern Africa,2015,"Seats held by women in national parliament, as of February (%)",,,24.5668,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
